id_lectura,estacion,presion,unidad,temporada
LEC-0001,Est. Sierra,30.8,inHg,Verano
LEC-0002,Est. Centro,971.5,?,Canícula
LEC-0003,Est. Planicie,1007.61,hPa,Otoño
LEC-0004,Est. Sur,1003.81,hPa,Transición Primavera-Verano
LEC-0005,Est. Planicie,30.42,inHg,Primavera
LEC-0006,Est. Poniente,30.99,inHg,Temporada de lluvias
LEC-0007,Est. Manglar,1004.81,hPa,Invierno
LEC-0008,Est. Desierto,30.55,inHg,Transición Otoño-Invierno
LEC-0009,Est. Bosque,969.24,hPa,Transición Otoño-Invierno
LEC-0010,Est. Península,1019.91,hPa,Transición Otoño-Invierno
LEC-0011,Est. Poniente,30.64,inHg,Verano
LEC-0012,Est. Poniente,1010.77,hPa,Temporada de lluvias
LEC-0013,Est. Altiplano,1024.97,hPa,Verano
LEC-0014,Est. Pradera,28.62,inHg,Transición Otoño-Invierno
LEC-0015,Est. Bosque,30.07,inHg,Temporada de lluvias
LEC-0016,Est. Meseta,29.18,inHg,Primavera
LEC-0017,Est. Cañón,1046.24,hPa,Verano
LEC-0018,Est. Península,29.63,inHg,Transición Primavera-Verano,dato_extra,59
LEC-0019,Est. Pradera,28.85,inHg,Temporada de lluvias
LEC-0020,Est. Norte,28.85,inHg,Primavera
LEC-0021,Est. Desierto,30.59,inHg,Primavera
LEC-0022,Est. Sur,30.3,inHg,Verano
LEC-0023,Est. Costa,30.28,inHg,Invierno
LEC-0024,Est. Meseta,1011.85,hPa,Canícula
LEC-0025,Est. Selva,1048.9,hPa,Invierno
LEC-0026,Est. Selva,994.16,hPa,Primavera
LEC-0027,Est. Manglar,30.08,inHg,Canícula
LEC-0028,Est. Cañón,1005.71,hPa,Transición Otoño-Invierno
LEC-0029,Est. Laguna,29.69,inHg,Primavera
LEC-0030,Est. Valle,28.85,inHg,Canícula
LEC-0031,Est. Sierra,988.54,hPa,Transición Primavera-Verano
LEC-0032,Est. Altiplano,975.64,hPa,Transición Primavera-Verano
LEC-0033,Est. Meseta,29.15,inHg,Invierno
LEC-0034,Est. Meseta,29.21,inHg,Primavera
LEC-0035,Est. Montaña,966.46,hPa,Verano
LEC-0036,Est. Bosque,999.9,hPa,Transición Primavera-Verano
LEC-0037,Est. Manglar,30.58,inHg,Verano
LEC-0038,Est. Altiplano,1003.53,hPa,Primavera
LEC-0039,Est. Manglar,29.07,inHg,Transición Primavera-Verano
LEC-0040,Est. Península,30.0,inHg,Invierno
LEC-0041,Est. Selva,28.55,inHg,Verano
LEC-0042,Est. Istmo,29.92,inHg,Canícula
LEC-0043,Est. Valle,1047.06,hPa,Transición Otoño-Invierno
LEC-0044,Est. Centro,1039.57,hPa,Verano
LEC-0045,Est. Cañón,1023.28,hPa,Verano
LEC-0046,Est. Meseta,994.27,hPa,Transición Otoño-Invierno
LEC-0047,Est. Bahía,1012.9,hPa,Transición Otoño-Invierno
LEC-0048,Est. Cañón,28.84,inHg,Invierno
LEC-0049,Est. Selva,29.55,inHg,Transición Otoño-Invierno
LEC-0050,Est. Montaña,1042.01,hPa,Temporada de lluvias
LEC-0051,Est. Meseta,30.23,inHg,Canícula
LEC-0052,Est. Río,30.65,inHg,Primavera
LEC-0053,Est. Volcán,1004.6,hPa,Transición Primavera-Verano
LEC-0054,Est. Bosque,29.22,inHg,Otoño
LEC-0055,Est. Altiplano,30.17,inHg,Transición Otoño-Invierno
LEC-0056,Est. Bahía,28.91,inHg,Otoño
LEC-0057,Est. Istmo,29.4,inHg,Primavera
LEC-0058,Est. Costa,993.12,hPa,Verano
LEC-0059,Est. Sur,988.02,hPa,Temporada de lluvias
LEC-0060,Est. Bahía,30.34,inHg,Transición Otoño-Invierno
LEC-0061,Est. Sierra,30.83,inHg,Invierno
LEC-0062,Est. Laguna,30.0,inHg,Transición Otoño-Invierno
LEC-0063,Est. Manglar,1024.23,hPa,Primavera
LEC-0064,Est. Cañón,1014.83,hPa,Canícula
LEC-0065,Est. Istmo,1039.35,hPa,Transición Otoño-Invierno
LEC-0066,Est. Costa,1017.59,hPa,Verano
LEC-0067,Est. Planicie,error,hPa,Primavera
LEC-0068,Est. Desierto,29.61,inHg,Transición Otoño-Invierno
LEC-0069,Est. Río,970.25,hPa,Otoño
LEC-0070,Est. Centro,965.44,hPa,Invierno
LEC-0071,Est. Oriente,1042.99,hPa,Transición Otoño-Invierno
LEC-0072,Est. Sur,30.49,inHg,Transición Otoño-Invierno
LEC-0073,Est. Meseta,980.49,hPa,Transición Otoño-Invierno
LEC-0074,Est. Río,1029.1,hPa,Otoño
LEC-0075,Est. Río,30.31,inHg,Otoño
LEC-0076,Est. Bosque,29.56,inHg,Transición Otoño-Invierno
LEC-0077,Est. Poniente,1008.95,hPa,Verano
LEC-0078,Est. Río,1000.98,hPa,Verano
LEC-0079,Est. Bosque,#REF!,inHg,Verano
LEC-0080,Est. Pradera,29.37,inHg,Canícula
LEC-0081,Est. Cañón,975.37,hPa,Temporada de lluvias
LEC-0082,Est. Manglar,968.27,hPa,Canícula
LEC-0083,Est. Selva,1030.77,hPa,Verano,dato_extra,3
