id_lectura,estacion,temporada,presion_hpa,nivel_presion
LEC-0001,Est. Sierra,Verano,1043.0,Muy alta
LEC-0003,Est. Planicie,Otoño,1007.6,Baja
LEC-0004,Est. Sur,Transición Primavera-Verano,1003.8,Baja
LEC-0005,Est. Planicie,Primavera,1030.1,Alta
LEC-0006,Est. Poniente,Temporada de lluvias,1049.4,Muy alta
LEC-0007,Est. Manglar,Invierno,1004.8,Baja
LEC-0008,Est. Desierto,Transición Otoño-Invierno,1034.5,Muy alta
LEC-0009,Est. Bosque,Transición Otoño-Invierno,969.2,Muy baja
LEC-0010,Est. Península,Transición Otoño-Invierno,1019.9,Normal
LEC-0011,Est. Poniente,Verano,1037.6,Muy alta
LEC-0012,Est. Poniente,Temporada de lluvias,1010.8,Normal
LEC-0013,Est. Altiplano,Verano,1025.0,Alta
LEC-0014,Est. Pradera,Transición Otoño-Invierno,969.2,Muy baja
LEC-0015,Est. Bosque,Temporada de lluvias,1018.3,Normal
LEC-0016,Est. Meseta,Primavera,988.1,Muy baja
LEC-0017,Est. Cañón,Verano,1046.2,Muy alta
LEC-0019,Est. Pradera,Temporada de lluvias,977.0,Muy baja
LEC-0020,Est. Norte,Primavera,977.0,Muy baja
LEC-0021,Est. Desierto,Primavera,1035.9,Muy alta
LEC-0022,Est. Sur,Verano,1026.1,Alta
LEC-0023,Est. Costa,Invierno,1025.4,Alta
LEC-0024,Est. Meseta,Canícula,1011.9,Normal
LEC-0025,Est. Selva,Invierno,1048.9,Muy alta
LEC-0026,Est. Selva,Primavera,994.2,Muy baja
LEC-0027,Est. Manglar,Canícula,1018.6,Normal
LEC-0028,Est. Cañón,Transición Otoño-Invierno,1005.7,Baja
LEC-0029,Est. Laguna,Primavera,1005.4,Baja
LEC-0030,Est. Valle,Canícula,977.0,Muy baja
LEC-0031,Est. Sierra,Transición Primavera-Verano,988.5,Muy baja
LEC-0032,Est. Altiplano,Transición Primavera-Verano,975.6,Muy baja
LEC-0033,Est. Meseta,Invierno,987.1,Muy baja
LEC-0034,Est. Meseta,Primavera,989.2,Muy baja
LEC-0035,Est. Montaña,Verano,966.5,Muy baja
LEC-0036,Est. Bosque,Transición Primavera-Verano,999.9,Baja
LEC-0037,Est. Manglar,Verano,1035.6,Muy alta
LEC-0038,Est. Altiplano,Primavera,1003.5,Baja
LEC-0039,Est. Manglar,Transición Primavera-Verano,984.4,Muy baja
LEC-0040,Est. Península,Invierno,1015.9,Normal
LEC-0041,Est. Selva,Verano,966.8,Muy baja
LEC-0042,Est. Istmo,Canícula,1013.2,Normal
LEC-0043,Est. Valle,Transición Otoño-Invierno,1047.1,Muy alta
LEC-0044,Est. Centro,Verano,1039.6,Muy alta
LEC-0045,Est. Cañón,Verano,1023.3,Alta
LEC-0046,Est. Meseta,Transición Otoño-Invierno,994.3,Muy baja
LEC-0047,Est. Bahía,Transición Otoño-Invierno,1012.9,Normal
LEC-0048,Est. Cañón,Invierno,976.6,Muy baja
LEC-0049,Est. Selva,Transición Otoño-Invierno,1000.7,Baja
LEC-0050,Est. Montaña,Temporada de lluvias,1042.0,Muy alta
LEC-0051,Est. Meseta,Canícula,1023.7,Alta
LEC-0052,Est. Río,Primavera,1037.9,Muy alta
LEC-0053,Est. Volcán,Transición Primavera-Verano,1004.6,Baja
LEC-0054,Est. Bosque,Otoño,989.5,Muy baja
LEC-0055,Est. Altiplano,Transición Otoño-Invierno,1021.7,Alta
LEC-0056,Est. Bahía,Otoño,979.0,Muy baja
LEC-0057,Est. Istmo,Primavera,995.6,Muy baja
LEC-0058,Est. Costa,Verano,993.1,Muy baja
LEC-0059,Est. Sur,Temporada de lluvias,988.0,Muy baja
LEC-0060,Est. Bahía,Transición Otoño-Invierno,1027.4,Alta
LEC-0061,Est. Sierra,Invierno,1044.0,Muy alta
LEC-0062,Est. Laguna,Transición Otoño-Invierno,1015.9,Normal
LEC-0063,Est. Manglar,Primavera,1024.2,Alta
LEC-0064,Est. Cañón,Canícula,1014.8,Normal
LEC-0065,Est. Istmo,Transición Otoño-Invierno,1039.3,Muy alta
LEC-0066,Est. Costa,Verano,1017.6,Normal
LEC-0068,Est. Desierto,Transición Otoño-Invierno,1002.7,Baja
LEC-0069,Est. Río,Otoño,970.2,Muy baja
LEC-0070,Est. Centro,Invierno,965.4,Muy baja
LEC-0071,Est. Oriente,Transición Otoño-Invierno,1043.0,Muy alta
LEC-0072,Est. Sur,Transición Otoño-Invierno,1032.5,Muy alta
LEC-0073,Est. Meseta,Transición Otoño-Invierno,980.5,Muy baja
LEC-0074,Est. Río,Otoño,1029.1,Alta
LEC-0075,Est. Río,Otoño,1026.4,Alta
LEC-0076,Est. Bosque,Transición Otoño-Invierno,1001.0,Baja
LEC-0077,Est. Poniente,Verano,1009.0,Baja
LEC-0078,Est. Río,Verano,1001.0,Baja
LEC-0080,Est. Pradera,Canícula,994.6,Muy baja
LEC-0081,Est. Cañón,Temporada de lluvias,975.4,Muy baja
LEC-0082,Est. Manglar,Canícula,968.3,Muy baja
LEC-0084,Est. Montaña,Verano,998.3,Baja
LEC-0085,Est. Manglar,Canícula,1001.0,Baja
LEC-0086,Est. Meseta,Transición Otoño-Invierno,1008.7,Baja
LEC-0087,Est. Montaña,Verano,1033.9,Muy alta
LEC-0090,Est. Costa,Transición Otoño-Invierno,1023.6,Alta
LEC-0091,Est. Oriente,Temporada de lluvias,1006.4,Baja
LEC-0092,Est. Península,Canícula,980.0,Muy baja
LEC-0093,Est. Costa,Transición Primavera-Verano,1040.6,Muy alta
